"","term","description","package","title"
"1","abs()","calculate absolute value","base","R4DS2e: Functions"
"2","aes()","create aesthetic mappings between data and plot","ggplot2","R4DS2e: Functions"
"4","after_stat()","evaluate aesthetic mapping after statistical transformation","ggplot2","R4DS2e: Functions"
"5","arrange()","change order of rows based on values of columns","dplyr","R4DS2e: Functions"
"6","as.numeric()","coerce object to numeric","base","R4DS2e: Functions"
"8","c()","create vector of numbers, characters, etc.","base","R4DS2e: Functions"
"9","case_when()","conditionally set values across multiple conditions","dplyr","R4DS2e: Functions"
"14","count()","count unique values of variables","dplyr","R4DS2e: Functions"
"18","cut()","divide range of vector into intervals","base","R4DS2e: Functions"
"20","data()","load specific data set","utils","R4DS2e: Functions"
"23","distinct()","select only unique/distinct rows from data frame","dplyr","R4DS2e: Functions"
"25","facet_wrap()","create subplots from one variable","ggplot2","R4DS2e: Functions"
"26","fct_infreq()","reorder factor levels in the order of most to least frequent","forcats","R4DS2e: Functions"
"27","fct_rev()","reverse order of factor levels","forcats","R4DS2e: Functions"
"29","file.info()","extract file information","base","R4DS2e: Functions"
"30","filter()","keep rows based on values of columns","dplyr","R4DS2e: Functions"
"32","fixed()","compare literal bytes in a string","stringr","R4DS2e: Functions"
"33","geom_bar()","create bar chart based on counts in data","ggplot2","R4DS2e: Functions"
"34","geom_freqpoly()","create frequency polygon","ggplot2","R4DS2e: Functions"
"35","geom_histogram()","create histogram of counts as bars","ggplot2","R4DS2e: Functions"
"36","geom_point()","add layer of points to plot","ggplot2","R4DS2e: Functions"
"37","geom_smooth()","create smoothed lines to plot","ggplot2","R4DS2e: Functions"
"38","ggplot()","create a plotting area","ggplot2","R4DS2e: Functions"
"39","group_by()","group data by levels of column","dplyr","R4DS2e: Functions"
"43","if_else()","vectorized if statement that checks conditionals and returns different outputs based on answer","dplyr","R4DS2e: Functions"
"44","is.na()","determine whether elements of vector are missing","base","R4DS2e: Functions"
"45","labs()","modify axis, legend, and plot labels","ggplot2","R4DS2e: Functions"
"46","length()","return number of elements in a vector","base","R4DS2e: Functions"
"47","library()","load R packages","base","R4DS2e: Functions"
"49","log10()","compute base 10 logarithm","base","R4DS2e: Functions"
"50","max()","compute maxima of input values","base","R4DS2e: Functions"
"51","mean()","calculate mean of elements of vector","base","R4DS2e: Functions"
"52","median()","compute sample median","stats","R4DS2e: Functions"
"53","min()","compute minima of input values","base","R4DS2e: Functions"
"54","mutate()","create or modify data columns","dplyr","R4DS2e: Functions"
"55","n()","return current group size","dplyr","R4DS2e: Functions"
"57","pivot_wider()","pivot data frame to be wider","tidyr","R4DS2e: Functions"
"58","range()","return vector of minimum and maximum","base","R4DS2e: Functions"
"59","rep()","create repetitions of numbers, characters, etc.","base","R4DS2e: Functions"
"61","rnorm()","generate random sample from normal distribution","stats","R4DS2e: Functions"
"62","runif()","generate random number from uniform distribution","stats","R4DS2e: Functions"
"63","sd()","compute standard deviation","stats","R4DS2e: Functions"
"64","select()","keep specified columns","dplyr","R4DS2e: Functions"
"65","sort()","sort a vector or factor into ascending or descending order (base R)","base","R4DS2e: Functions"
"69","str_detect()","detect presence of pattern in string","stringr","R4DS2e: Functions"
"70","str_flatten()","flatten a string","stringr","R4DS2e: Functions"
"71","str_length()","returns number of characters in a string","stringr","R4DS2e: Functions"
"72","str_remove_all()","remove all instances of a pattern in a string","stringr","R4DS2e: Functions"
"73","str_sub()","extract parts of a string","stringr","R4DS2e: Functions"
"74","str_to_upper()","change text to upper case","stringr","R4DS2e: Functions"
"75","sum()","sum elements of vector","base","R4DS2e: Functions"
"76","summarize()","summarize data usually by grouping variable","dplyr","R4DS2e: Functions"
"78","tibble()","create tibble","tibble","R4DS2e: Functions"
